practice_id,practice_title,folder,reading_sources,listening_sources,writing_sources,answer_candidates,primary_answer_file,answer_format,status,partial_material,reading_fill_answers,reading_fill_matched,reading_mc_answers,reading_mc_matched,listening_mc_answers,listening_mc_matched,writing_order_answers,writing_order_matched,warnings
2026-01-21-a,2026-01-21 A卷,1.21新托福真题A卷,1.21新托福真题A卷/新托福真题01.pdf,1.21新托福真题A卷/新托福真题01.pdf | 1.21新托福真题A卷/新托福真题01-听力原文.pdf,1.21新托福真题A卷/新托福真题01.pdf,1.21新托福真题A卷/新托福真题01参考答案.pdf,1.21新托福真题A卷/新托福真题01参考答案.pdf,english_modules,mapped,False,30,30,20,19,47,45,10,10,
2026-01-21-b,2026-01-21 B卷,1.21新托福真题B 卷,1.21新托福真题B 卷/新托福2026年真题02.pdf,1.21新托福真题B 卷/新托福2026年真题02.pdf | 1.21新托福真题B 卷/听力原文-新托福2026真题02.pdf,1.21新托福真题B 卷/新托福2026年真题02.pdf,1.21新托福真题B 卷/参考答案-新托福2026真题02.pdf,1.21新托福真题B 卷/参考答案-新托福2026真题02.pdf,english_modules,mapped,False,30,30,20,16,47,46,10,10,
2026-01-21-c,2026-01-21 C卷,1.21新托福真题C卷,1.21新托福真题C卷/新托福2026年真题03.pdf,1.21新托福真题C卷/新托福2026年真题03.pdf | 1.21新托福真题C卷/听力原文-新托福2026真题03.pdf,1.21新托福真题C卷/新托福2026年真题03.pdf,1.21新托福真题C卷/参考答案-新托福2026真题03.pdf,1.21新托福真题C卷/参考答案-新托福2026真题03.pdf,english_modules,mapped,False,30,30,20,18,47,47,10,10,
2026-01-27-a,2026-01-27 A卷,1.27新托福A卷,1.27新托福A卷/新托福2026真题04.pdf,1.27新托福A卷/新托福2026真题04.pdf | 1.27新托福A卷/听力原文-新托福2026真题04.pdf,1.27新托福A卷/新托福2026真题04.pdf,1.27新托福A卷/参考答案-新托福2026真题04.pdf,1.27新托福A卷/参考答案-新托福2026真题04.pdf,english_modules,mapped,False,30,20,20,6,47,47,10,10,
2026-01-27-b,2026-01-27 B卷,1.27新托福B卷,1.27新托福B卷/2026新托福真题01.pdf,1.27新托福B卷/2026新托福真题01.pdf | 1.27新托福B卷/听力原文-2026新托福真题02.pdf,1.27新托福B卷/2026新托福真题01.pdf,1.27新托福B卷/参考答案-2026新托福真题02.pdf,1.27新托福B卷/参考答案-2026新托福真题02.pdf,english_modules,mapped,False,30,30,20,19,47,47,10,10,
2026-01-28-a,2026-01-28 A卷,1.28新托福真题A卷,1.28新托福真题A卷/2026新托福真题05.pdf,1.28新托福真题A卷/2026新托福真题05.pdf | 1.28新托福真题A卷/2026新托福真题05-听力原文.pdf,1.28新托福真题A卷/2026新托福真题05.pdf,1.28新托福真题A卷/2026新托福真题05-参考答案.pdf,1.28新托福真题A卷/2026新托福真题05-参考答案.pdf,english_modules,mapped_with_warnings,False,30,30,19,18,47,47,10,10,"reading.m1: missing question numbers: 29 | reading.m1: expected 35, found 34"
2026-01-28-b,2026-01-28 B卷,1.28新托福真题B卷,1.28新托福真题B卷/2.1新托福真题01.pdf,1.28新托福真题B卷/2.1新托福真题01.pdf | 1.28新托福真题B卷/听力原文-2026新托福真题01.pdf,1.28新托福真题B卷/2.1新托福真题01.pdf,1.28新托福真题B卷/参考答案-2026新托福真题01.pdf,1.28新托福真题B卷/参考答案-2026新托福真题01.pdf,english_modules,mapped,False,30,30,20,19,47,46,10,10,
2026-02-01-a,2026-02-01 A卷,2.1新托福A卷,2.1新托福A卷/2026.2.1新托福真题.pdf,2.1新托福A卷/2026.2.1新托福真题.pdf | 2.1新托福A卷/听力原文-20262.1新托福真题.pdf,2.1新托福A卷/2026.2.1新托福真题.pdf,2.1新托福A卷/参考答案-2026.2.1新托福真题.pdf,2.1新托福A卷/参考答案-2026.2.1新托福真题.pdf,english_modules,mapped,False,30,30,20,19,47,46,10,10,
2026-02-01-b,2026-02-01 B卷,2.1新托福真题B卷,2.1新托福真题B卷/2026新托福真题10.pdf,2.1新托福真题B卷/2026新托福真题10.pdf | 2.1新托福真题B卷/听力原文-2026新托福真题10.pdf,2.1新托福真题B卷/2026新托福真题10.pdf,2.1新托福真题B卷/参考答案-2026新托福真题10.pdf,2.1新托福真题B卷/参考答案-2026新托福真题10.pdf,english_modules,mapped,False,30,30,20,19,47,45,10,10,
2026-02-01-c,2026-02-01 C卷,2.1新托福真题C卷,2.1新托福真题C卷/2.1新托福真题C卷.pdf,2.1新托福真题C卷/2.1新托福真题C卷.pdf | 2.1新托福真题C卷/听力原文-2026新托福真题11.pdf,2.1新托福真题C卷/2.1新托福真题C卷.pdf,2.1新托福真题C卷/参考答案-2026新托福真题11.pdf,2.1新托福真题C卷/参考答案-2026新托福真题11.pdf,english_modules,mapped,False,30,30,20,18,47,47,10,10,
