schema_version,exam_key,exam_date,variant,source_dir,section,block,is_extra,source_question_no,section_question_no,choice_question_no,answer_type,correct_answer,canonical_key,source_pdf,source_page,source_sha256,confidence
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,1,1,,text,this,2026-04-08:reading:main:q1,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,2,2,,text,helps,2026-04-08:reading:main:q2,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,3,3,,text,reduce,2026-04-08:reading:main:q3,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,4,4,,text,and,2026-04-08:reading:main:q4,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,5,5,,text,it,2026-04-08:reading:main:q5,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,6,6,,text,decreases,2026-04-08:reading:main:q6,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,7,7,,text,need,2026-04-08:reading:main:q7,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,8,8,,text,chemical,2026-04-08:reading:main:q8,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,9,9,,text,promoting,2026-04-08:reading:main:q9,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,10,10,,text,agriculture,2026-04-08:reading:main:q10,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,11,11,,text,is,2026-04-08:reading:main:q11,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,12,12,,text,while,2026-04-08:reading:main:q12,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,13,13,,text,appears,2026-04-08:reading:main:q13,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,14,14,,text,when,2026-04-08:reading:main:q14,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,15,15,,text,are,2026-04-08:reading:main:q15,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,16,16,,text,for,2026-04-08:reading:main:q16,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,17,17,,text,like,2026-04-08:reading:main:q17,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,18,18,,text,rain,2026-04-08:reading:main:q18,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,19,19,,text,underground,2026-04-08:reading:main:q19,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,20,20,,text,consists,2026-04-08:reading:main:q20,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,21,21,1,choice,B,2026-04-08:reading:main:q21,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,22,22,2,choice,A,2026-04-08:reading:main:q22,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,23,23,3,choice,B,2026-04-08:reading:main:q23,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,24,24,4,choice,C,2026-04-08:reading:main:q24,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,25,25,5,choice,C,2026-04-08:reading:main:q25,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,26,26,6,choice,A,2026-04-08:reading:main:q26,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,27,27,7,choice,D,2026-04-08:reading:main:q27,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,28,28,8,choice,B,2026-04-08:reading:main:q28,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,29,29,9,choice,A,2026-04-08:reading:main:q29,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,30,30,10,choice,B,2026-04-08:reading:main:q30,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
1.0,2026-04-08,2026-04-08,default,4.8新托福真题,reading,main,False,31,31,11,choice,C,2026-04-08:reading:main:q31,4.8新托福真题/4.8答案.pdf,1,ea1c7a03ac07114e2d290424abcd65da7fdc00a33b2cbf7fff9d6a649a3974ff,high
